0s;0;0.0;0.0
1s;0;6.25;0.0
2s;0;0.0;0.0
3s;50000;6.25;0.0
4s;100000;6.25;0.0
5s;50000;9.06;1.0
6s;50000;11.31;4.0
7s;100000;13.53;4.0
8s;50000;15.41;4.0
9s;50000;17.06;4.0
10s;100000;18.54;6.0
11s;150000;20.1;7.0
12s;150000;21.56;7.0
2s;0;20.57;9.0
3s;0;20.17;9.0
4s;0;19.81;11.0
5s;50000;19.72;12.0
6s;100000;19.69;13.0
7s;150000;22.13;13.0
8s;150000;23.92;11.0
9s;150000;22.95;12.0
10s;150000;22.49;9.0
11s;150000;21.76;10.0
2s;0;21.32;9.0
3s;0;20.79;7.0
4s;0;20.1;7.0
5s;0;19.53;7.0
6s;50000;19.02;7.0
7s;100000;18.55;5.0
